,,,,,,featureType,,,,,maxDate,minDate,,,,,,,,,,,,,,,,,,,,,
"Becker, J.","15.6356109, 38.2312697, 15.6356109, 38.2312697",2013-09-02T23:35:38Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [15.6356109, 38.2312697]}",location-of-Kainys-Pr,precise,representative,1918,1683,2013-09-13T15:36:47Z,/places/452350/location-of-Kainys-Pr,/places/452350,38.2312697,"38.2312697,15.6356109",15.6356109,,L,late-ottoman-empire,"1683.0,1918.0",location of Kainys Pr.,de78e035ba2d7fa76dbb99195f3a589f,,,,,254,Early Modern,EUROPE,1450,1
"Becker, J.","18.8, 30.383333, 18.8, 30.383333",2013-05-16T16:01:15Z,jbecker,0,verified in Google Earth.,cape,"{""type"": ""Point"", ""coordinates"": [18.8, 30.383333]}",location-of-arae-philaenorum-pr,precise,representative,2100,1700,2013-05-21T17:56:05Z,/places/363925/location-of-arae-philaenorum-pr,/places/363925,30.383333,"30.383333,18.8",18.8,,M,modern,"1700.0,2100.0",location of Arae Philaenorum Pr.,7006666a177742c42a0d7f924c1c7c83,,,,,857,Early Modern,EUROPE,1450,1
"Becker, J.","21.70302, 32.93952, 21.70302, 32.93952",2013-05-16T16:06:21Z,jbecker,0,"The modern Raâ€™s â€˜Ä€mir, Libya. Coordinates after GeoNames.",cape,"{""type"": ""Point"", ""coordinates"": [21.70302, 32.93952]}",location-of-phykous-akron,precise,representative,2100,1700,2013-05-21T17:56:38Z,/places/373873/location-of-phykous-akron,/places/373873,32.93952,"32.93952,21.70302",21.70302,,M,modern,"1700.0,2100.0",location of Phykous Akron,dd2841db83139fd178fa211a11b575fa,,,,,858,Early Modern,EUROPE,1450,1
"Becker, J.","22.54638, 32.80045, 22.54638, 32.80045",2013-05-16T16:14:57Z,jbecker,0,"Modern Raâ€™s BÅ« MaddÄd, Libya. Coordinates after GeoNames.",cape,"{""type"": ""Point"", ""coordinates"": [22.54638, 32.80045]}",location-of-zephyrion-akron,precise,representative,2100,1700,2013-05-21T18:19:29Z,/places/373916/location-of-zephyrion-akron,/places/373916,32.80045,"32.80045,22.54638",22.54638,,M,modern,"1700.0,2100.0",location of Zephyrion Akron,6086dd92b33240a8f5692cb52e892246,,,,,873,Early Modern,EUROPE,1450,1
"Becker, J.","51.2836084, 11.8330631, 51.2836084, 11.8330631",2013-02-20T18:15:20Z,jbecker,0,verified in Google Earth 2013 based on OSM coordinates.,cape,"{""type"": ""Point"", ""coordinates"": [51.2836084, 11.8330631]}",location-of-notou-keras-aromata-pr,precise,representative,2100,1700,2013-04-12T20:59:34Z,/places/39399/location-of-notou-keras-aromata-pr,/places/39399,11.8330631,"11.8330631,51.2836084",51.2836084,,M,modern,"1700.0,2100.0",location of Notou Keras/Aromata Pr.,47d297332cf91f4813a8a327f48638c4,,,,,874,Early Modern,EUROPE,1450,1
"Horne, R.","26.0125, 38.14667, 26.0125, 38.14667",2013-04-15T16:58:12Z,rmhorne,0,GeoNames location for Ãkra MÃ¡sticho,cape,"{""type"": ""Point"", ""coordinates"": [26.0125, 38.14667]}",location-of-akra-masticho,precise,representative,2100,1700,2013-04-16T14:20:58Z,/places/550820/location-of-akra-masticho,/places/550820,38.14667,"38.14667,26.0125",26.0125,,M,modern,"1700.0,2100.0",Location of Ãkra MÃ¡sticho,c83a53b76b896d103d20b80f2dc6546a,,,,,914,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","26.816585, 39.433013, 26.816585, 39.433013",2015-01-11T02:09:32Z,jbecker,2,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [26.816585, 39.433013]}",osm-location,precise,,2100,1700,2016-07-25T22:00:50Z,/places/550850/osm-location,/places/550850,39.433013,"39.433013,26.816585",26.816585,,M,modern,"1700.0,2100.0",OSM location of Pyrra Pr.,eba89570990407c9a36508459a73faf8,,,,,918,Early Modern,EUROPE,1450,1
"Becker, J.","26.1989554, 40.0078372, 26.1989554, 40.0078372",2015-01-11T00:09:40Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [26.1989554, 40.0078372]}",osm-location,precise,representative,2100,1700,2018-09-25T21:29:12Z,/places/550878/osm-location,/places/550878,40.0078372,"40.0078372,26.1989554",26.1989554,,M,modern,"1700.0,2100.0",OSM location,184cad1058c7dfeb856ddade78fc93db,,,,,1121,Early Modern,OTHER CONTINENT,1450,1
"Becker, J., S. Dunn","21.13, 37.936, 21.13, 37.936",2013-01-30T19:11:57Z,jbecker,1,verified in Google Earth 2013 based on Barrington Atlas location.,cape,"{""type"": ""Point"", ""coordinates"": [21.13, 37.936]}",location-of-chelonatas-pr,precise,representative,2100,1700,2013-03-19T14:14:43Z,/places/570174/location-of-chelonatas-pr,/places/570174,37.936,"37.936,21.13",21.13,,M,modern,"1700.0,2100.0",location of Chelonatas Pr.,24a6a1b45a91672cb37a7fe81d092ccf,,,,,1193,Early Modern,EUROPE,1450,1
"Becker, J.","33.3447, 42.01957, 33.3447, 42.01957",2012-11-02T16:51:34Z,jbecker,2,"Representative point, derived from GeoNames.",cape,"{""type"": ""Point"", ""coordinates"": [33.3447, 42.01957]}",geonames-location,precise,representative,2100,1700,2015-08-31T20:16:21Z,/places/844971/geonames-location,/places/844971,42.01957,"42.01957,33.3447",33.3447,,M,modern,"1700.0,2100.0",GeoNames Location,d3752b61b63c37319496339a844a13c3,,,,,-2,Early Modern,OTHER CONTINENT,1450,1
"Becker, J.","28.794384, 36.652813, 28.794384, 36.652813",2014-11-27T19:25:31Z,jbecker,2,Representative modern location of the cape based on a way derived from OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [28.794384, 36.652813]}",osm-location,precise,"associated_modern,",2100,1700,2020-12-17T18:54:09Z,/places/638766/osm-location,/places/638766,36.652813,"36.652813,28.794384",28.794384,,M,modern,"1700.0,2100.0",OSM location,239dd580c36d39200df774fef0fc36d9,,,,,23,Early Modern,ASIA,1450,1
"Becker, J.","30.407, 36.215, 30.407, 36.215",2013-03-04T18:11:59Z,jbecker,0,verified in Google Earth 2013.,cape,"{""type"": ""Point"", ""coordinates"": [30.407, 36.215]}",location-of-chelidonium-pr.-hiera-akra-tauri-pr,precise,representative,2100,1700,2013-04-13T12:30:45Z,/places/638800/location-of-chelidonium-pr.-hiera-akra-tauri-pr,/places/638800,36.215,"36.215,30.407",30.407,,M,modern,"1700.0,2100.0",location of Chelidonium Pr./Hiera Akra/Tauri Pr.,24a85f58b03bb7d9a898c50edcce6ad8,,,,,48,Early Modern,EUROPE,1450,1
"Horne, R.","28.66667, 36.7, 28.66667, 36.7",2013-04-15T16:48:59Z,rmhorne,1,Modern Cape Kapnia / Disbilmez / Disi Bilmez Burnu / DiÅŸbilmez.,cape,"{""type"": ""Point"", ""coordinates"": [28.66667, 36.7]}",location-of-cape-kapnia,precise,representative,2100,1700,2013-04-16T14:38:52Z,/places/638945/location-of-cape-kapnia,/places/638945,36.7,"36.7,28.66667",28.66667,,M,modern,"1700.0,2100.0",Location of Cape Kapnia,f409725b9ea8b00c80b9e1553af0c3bd,,,,,42,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","28.859534, 36.597739, 28.859534, 36.597739",2014-11-27T19:27:30Z,jbecker,2,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [28.859534, 36.597739]}",osm-location,precise,,2100,1700,2016-08-01T15:46:43Z,/places/639045/osm-location,/places/639045,36.597739,"36.597739,28.859534",28.859534,,M,modern,"1700.0,2100.0",OSM location of Pedalion/Ankon Pr.,5e3596c2d3618adebde0bade2fc79563,,,,,223,Early Modern,EUROPE,1450,1
"Becker, J.","29.079, 36.644, 29.079, 36.644",2013-03-04T17:19:40Z,jbecker,0,position based on Barrington Atlas,cape,"{""type"": ""Point"", ""coordinates"": [29.079, 36.644]}",location-of-telmessias-pr,precise,representative,2100,1700,2013-04-13T12:33:00Z,/places/639135/location-of-telmessias-pr,/places/639135,36.644,"36.644,29.079",29.079,,M,modern,"1700.0,2100.0",location of Telmessias Pr.,c93f9614a90ce95b149a94504efe6993,,,,,786,Early Modern,EUROPE,1450,1
"Becker, J.","33.738056, 44.387222, 33.738056, 44.387222",2013-05-03T01:26:50Z,jbecker,0,coordinates after GeoHack.,cape,"{""type"": ""Point"", ""coordinates"": [33.738056, 44.387222]}",location-of-cape-sarych,precise,representative,2100,1700,2018-06-08T09:57:29Z,/places/226671/location-of-cape-sarych,/places/226671,44.387222,"44.387222,33.738056",33.738056,,M,modern,"1700.0,2100.0",location of Cape Sarych,497ac4b0c3abb0729327f5978654e1f2,,,,,787,Early Modern,EUROPE,1450,1
"Becker, J.","-8.7712414, 41.3707381, -8.7712414, 41.3707381",2013-10-04T01:47:17Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [-8.7712414, 41.3707381]}",location-of-povoa-de-varzim,precise,representative,2100,1700,2013-10-13T15:38:11Z,/places/236354/location-of-povoa-de-varzim,/places/236354,41.3707381,"41.3707381,-8.7712414",-8.7712414,,M,modern,"1700.0,2100.0",location of PÃ³voa de Varzim,200bcae2ae3cb0cec5d8e35117c631a2,,,,,791,Early Modern,EUROPE,1450,1
"Becker, J.","9.8368897, 37.3381365, 9.8368897, 37.3381365",2013-05-16T14:58:10Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [9.8368897, 37.3381365]}",location-of-Candidum-Pr,precise,representative,2100,1700,2013-07-29T03:56:24Z,/places/314918/location-of-Candidum-Pr,/places/314918,37.3381365,"37.3381365,9.8368897",9.8368897,,M,modern,"1700.0,2100.0",location of Candidum Pr.,104251b1d688f239bf8bfcd206844ded,,,,,792,Early Modern,EUROPE,1450,1
"Becker, J.","32.2875, 35.103333, 32.2875, 35.103333",2013-02-26T21:42:22Z,jbecker,0,verified in Google Earth 2013.,cape,"{""type"": ""Point"", ""coordinates"": [32.2875, 35.103333]}",location-of-akamas-pr,precise,representative,2100,1700,2013-04-12T20:46:16Z,/places/707455/location-of-akamas-pr,/places/707455,35.103333,"35.103333,32.2875",32.2875,,M,modern,"1700.0,2100.0",location of Akamas Pr.,f133d02d51d30f793c80bd3b7dd4ab27,,,,,807,Early Modern,EUROPE,1450,1
"Becker, J.","32.3161058, 34.8994557, 32.3161058, 34.8994557",2014-02-01T06:12:19Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [32.3161058, 34.8994557]}",location-of-cape-drepanum,precise,representative,2100,1700,2014-04-19T15:32:08Z,/places/707503/location-of-cape-drepanum,/places/707503,34.8994557,"34.8994557,32.3161058",32.3161058,,M,modern,"1700.0,2100.0",location of Cape Drepanum,f79989cfc5dfb27c2db78f8462d8ce35,,,,,811,Early Modern,EUROPE,1450,1
"Becker, J.","33.0375, 34.56667, 33.0375, 34.56667",2014-02-01T22:42:21Z,jbecker,0,coordinates after GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [33.0375, 34.56667]}",location-of-cape-gata,precise,representative,2100,1700,2014-02-01T22:44:31Z,/places/707525/location-of-cape-gata,/places/707525,34.56667,"34.56667,33.0375",33.0375,,M,modern,"1700.0,2100.0",location of Cape Gata,8480ed6686bbb789035fb584977e8b01,,,,,821,Early Modern,EUROPE,1450,1
"Becker, J.","32.920278, 35.405278, 32.920278, 35.405278",2013-02-27T18:37:04Z,jbecker,0,Cape Kormakitis,cape,"{""type"": ""Point"", ""coordinates"": [32.920278, 35.405278]}",location-of-krommy-ak-on-pr,precise,representative,2100,1700,2013-04-13T12:38:15Z,/places/707551/location-of-krommy-ak-on-pr,/places/707551,35.405278,"35.405278,32.920278",32.920278,,M,modern,"1700.0,2100.0",location of Krommy(ak)on Pr.,0c184293be659b478af40671ce223d81,,,,,827,Early Modern,EUROPE,1450,1
"Becker, J.","34.0838064, 34.9597177, 34.0838064, 34.9597177",2013-05-28T19:46:50Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [34.0838064, 34.9597177]}",location-of-Pedalion-Pr,precise,representative,2100,1700,2013-07-19T18:24:40Z,/places/707604/location-of-Pedalion-Pr,/places/707604,34.9597177,"34.9597177,34.0838064",34.0838064,,M,modern,"1700.0,2100.0",location of Pedalion Pr.,38f0864fcaef51ec71f004a10805435a,,,,,829,Early Modern,EUROPE,1450,1
"Becker, J.","24.73862, 32.0204, 24.73862, 32.0204",2014-03-14T14:22:12Z,jbecker,0,coordinates after GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [24.73862, 32.0204]}",geonames-location,precise,representative,2100,1700,2020-12-17T18:28:30Z,/places/716579/geonames-location,/places/716579,32.0204,"32.0204,24.73862",24.73862,,M,modern,"1700.0,2100.0",GeoNames Location of Raâ€™s Wannah,f9d216b38ba8671a7e3f2d2d6b219812,,,,,839,Early Modern,EUROPE,1450,1
"Becker, J.","30.4181066, 31.4678405, 30.4181066, 31.4678405",2013-05-20T17:35:15Z,jbecker,1,"Location based on OpenStreetMap, placement based on Barrington Atlas.",cape,"{""type"": ""Point"", ""coordinates"": [30.4181066, 31.4678405]}",location-of-Agnou-Keras-Pr,precise,representative,2100,1700,2013-07-19T18:32:42Z,/places/727069/location-of-Agnou-Keras-Pr,/places/727069,31.4678405,"31.4678405,30.4181066",30.4181066,,M,modern,"1700.0,2100.0",location of Agnou Keras Pr.,2f6b2ed761dd9ece28f27604a050894e,,,,,844,Early Modern,EUROPE,1450,1
"Becker, J., S. Dunn","21.658, 36.951, 21.658, 36.951",2013-01-30T16:13:22Z,jbecker,1,placement based on Barrington Atlas location.,cape,"{""type"": ""Point"", ""coordinates"": [21.658, 36.951]}",location-of-koryphasion-pr,precise,representative,2100,1700,2013-03-19T14:16:13Z,/places/570375/location-of-koryphasion-pr,/places/570375,36.951,"36.951,21.658",21.658,,M,modern,"1700.0,2100.0",location of Koryphasion Pr.,3c74dbd6433cd221f47745000e7f2c35,,,,,846,Early Modern,EUROPE,1450,1
"Horne, R.","24.76667, 35.41667, 24.76667, 35.41667",2013-05-02T15:28:58Z,rmhorne,1,Coordinates after GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [24.76667, 35.41667]}",akra-korakias,precise,representative,2100,1700,2013-08-03T00:30:06Z,/places/589762/akra-korakias,/places/589762,35.41667,"35.41667,24.76667",24.76667,,M,modern,"1700.0,2100.0",location of Ãkra KorakiÃ¡s,0a36cbfdbbe36494105954e39dfe8682,,,,,861,Early Modern,EUROPE,1450,1
"Becker, J.","23.5962, 35.6284, 23.5962, 35.6284",2013-02-08T21:13:09Z,jbecker,0,location based on Barrington Atlas.,cape,"{""type"": ""Point"", ""coordinates"": [23.5962, 35.6284]}",location-of-kimaros-pr,precise,representative,2100,1700,2013-04-12T21:17:26Z,/places/589866/location-of-kimaros-pr,/places/589866,35.6284,"35.6284,23.5962",23.5962,,M,modern,"1700.0,2100.0",location of Kimaros Pr.,5cfd4ac3e65158efd6b6234234cdaea1,,,,,863,Early Modern,EUROPE,1450,1
"Becker, J.","23.6128707, 35.5437926, 23.6128707, 35.5437926",2013-09-28T03:37:31Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [23.6128707, 35.5437926]}",location-of-Korykos-Pr,precise,representative,2100,1700,2013-11-26T01:54:20Z,/places/589880/location-of-Korykos-Pr,/places/589880,35.5437926,"35.5437926,23.6128707",23.6128707,,M,modern,"1700.0,2100.0",location of Korykos Pr.,e1518dee9d16d819f5db01e0707a8e1e,,,,,922,Early Modern,EUROPE,1450,1
"Becker, J.","23.5896, 35.2319, 23.5896, 35.2319",2013-02-08T21:19:17Z,jbecker,0,verified in Google Earth 2013 based on Barrington Atlas.,cape,"{""type"": ""Point"", ""coordinates"": [23.5896, 35.2319]}",imagery-location-of-kriou-metopon-pr,precise,representative,2100,1700,2018-06-07T23:41:07Z,/places/589884/imagery-location-of-kriou-metopon-pr,/places/589884,35.2319,"35.2319,23.5896",23.5896,,M,modern,"1700.0,2100.0",Imagery Location of Kriou Metopon Pr.,612e9d613170d48748779ec6a0bba6c9,,,,,923,Early Modern,EUROPE,1450,1
"Horne, R., J. Becker","24.56667, 35.1, 24.56667, 35.1",2013-05-02T15:21:48Z,rmhorne,2,Location based on GeoNames,cape,"{""type"": ""Point"", ""coordinates"": [24.56667, 35.1]}",akra-melissa,precise,representative,2100,1700,2013-08-02T03:02:21Z,/places/590019/akra-melissa,/places/590019,35.1,"35.1,24.56667",24.56667,,M,modern,"1700.0,2100.0",location of Ãkra MÃ©lissa,f7a42b7fc0689a80dacdff49ae52217e,,,,,925,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","27.9642085, 36.6756166, 27.9642085, 36.6756166",2014-06-01T22:19:23Z,jbecker,3,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [27.9642085, 36.6756166]}",osm-location,precise,"representative,",2100,1700,2016-09-25T03:05:43Z,/places/599500/osm-location,/places/599500,36.6756166,"36.6756166,27.9642085",27.9642085,,M,modern,"1700.0,2100.0",OSM location of Boz Burun,fb606f488e3b8af12c45accc3db24d9a,,,,,926,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","27.23333, 37.03333, 27.23333, 37.03333",2014-06-01T16:52:01Z,jbecker,5,Representative location based on GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [27.23333, 37.03333]}",location-of-karabakla-burnu,precise,"representative,",2100,1700,2016-09-25T03:02:00Z,/places/599538/location-of-karabakla-burnu,/places/599538,37.03333,"37.03333,27.23333",27.23333,,M,modern,"1700.0,2100.0",GeoNames location of Karabakla Burnu ,eb7c34503c4daa79a14a94b829096324,,,,,927,Early Modern,EUROPE,1450,1
"Becker, J.","26.592, 37.676, 26.592, 37.676",2013-02-25T22:00:52Z,jbecker,0,location based on Barrington Atlas,cape,"{""type"": ""Point"", ""coordinates"": [26.592, 37.676]}",location-of-kantharion-pr,precise,representative,2100,1700,2013-04-13T12:43:02Z,/places/599688/location-of-kantharion-pr,/places/599688,37.676,"37.676,26.592",26.592,,M,modern,"1700.0,2100.0",location of Kantharion Pr.,e70cf536a2b7cf261dc43b2a1d5f2293,,,,,928,Early Modern,EUROPE,1450,1
"Becker, J.","27.2867473, 36.9575142, 27.2867473, 36.9575142",2013-05-29T17:49:17Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [27.2867473, 36.9575142]}",location-of-litus-leuca,precise,representative,2100,1700,2013-07-15T04:09:15Z,/places/599770/location-of-litus-leuca,/places/599770,36.9575142,"36.9575142,27.2867473",27.2867473,,M,modern,"1700.0,2100.0",location of Litus Leuca,70ff9b277e360739cd14fd0c9fec3482,,,,,929,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","27.67911, 36.657588, 27.67911, 36.657588",2014-06-01T22:16:32Z,jbecker,3,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [27.67911, 36.657588]}",osm-location,precise,"representative,",2100,1700,2016-09-25T03:05:22Z,/places/599838/osm-location,/places/599838,36.657588,"36.657588,27.67911",27.67911,,M,modern,"1700.0,2100.0",OSM location of Ä°nce Burun,affeb5c3482adf22bd3f568b0c31f3b1,,,,,930,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","27.19221, 37.35376, 27.19221, 37.35376",2014-12-14T00:19:13Z,jbecker,2,Representative location based on GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [27.19221, 37.35376]}",location-of-tekagac-burnu,precise,"representative,",2100,1700,2016-08-04T12:04:56Z,/places/599898/location-of-tekagac-burnu,/places/599898,37.35376,"37.35376,27.19221",27.19221,,M,modern,"1700.0,2100.0",GeoNames location of TekagaÃ§ Burnu,36677f96a38a5a8637fbcc82ea6779d7,,,,,931,Early Modern,EUROPE,1450,1
"Becker, J., E. Robinson","26.896, 38.82, 26.896, 38.82",2013-03-06T17:08:23Z,jbecker,1,Position based on Barrington Atlas.,cape,"{""type"": ""Point"", ""coordinates"": [26.896, 38.82]}",location-of-hydra-pr,precise,"representative,",2100,1700,2016-08-26T14:17:12Z,/places/550582/location-of-hydra-pr,/places/550582,38.82,"38.82,26.896",26.896,,M,modern,"1700.0,2100.0",BAtlas location of Hydra Pr.,ddd7b75b7472d45faa23cc1b5139a737,,,,,932,Early Modern,EUROPE,1450,1
"Horne, R., T. Elliott","26.06278, 39.47977, 26.06278, 39.47977",2013-10-16T13:43:33Z,rmhorne,2,Representative location based on GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [26.06278, 39.47977]}",baba-burnu,precise,representative,2100,1700,2018-06-08T00:53:07Z,/places/550691/baba-burnu,/places/550691,39.47977,"39.47977,26.06278",26.06278,,M,modern,"1700.0,2100.0",GeoNames location of Baba Burnu,0b8ef3f6cd4326562434e757ee30e3b8,,,,,933,Early Modern,EUROPE,1450,1
