authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,,roundedLat,eras,Continent,Starting time,Existence period
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","8.431214, 52.307214, 8.431214, 52.307214",2011-03-09T21:40:22Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [8.431214, 52.307214]}",darmc-location-13507,precise,representative,640,300,2012-02-15T18:45:36Z,/places/99000/darmc-location-13507,/places/99000,52.307214,"52.307214,8.431214",8.431214,,L,late-antique,"300.0,640.0",DARMC location 13507,417c80b962cc2981326ac37a7d5a6dd8,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","9.723185, 54.952169, 9.723185, 54.952169",2011-03-09T21:54:29Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [9.723185, 54.952169]}",darmc-location-13971,precise,representative,640,300,2012-02-15T18:45:48Z,/places/99017/darmc-location-13971,/places/99017,54.952169,"54.952169,9.723185",9.723185,,L,late-antique,"300.0,640.0",DARMC location 13971,9f13d27534a5f31bc9f3afe361d52c41,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","6.112368, 52.337449, 6.112368, 52.337449",2011-03-09T21:55:34Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [6.112368, 52.337449]}",darmc-location-14007,precise,representative,640,300,2012-02-15T18:45:49Z,/places/99019/darmc-location-14007,/places/99019,52.337449,"52.337449,6.112368",6.112368,,L,late-antique,"300.0,640.0",DARMC location 14007,e6e633e6b010dd558f5203e6970269da,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","5.975467, 51.994623, 5.975467, 51.994623",2011-03-09T22:36:24Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [5.975467, 51.994623]}",darmc-location-15365,precise,representative,640,300,2012-02-15T18:46:12Z,/places/99057/darmc-location-15365,/places/99057,51.994623,"51.994623,5.975467",5.975467,,L,late-antique,"300.0,640.0",DARMC location 15365,7445f0e874acf97e57cdef74cb71a8d3,,,,,32,Early Modern,AFRICA,1450,340
"Becker, J.","3.2651736, 39.5964298, 3.2651736, 39.5964298",2014-07-20T15:32:09Z,jbecker,1,Location based on OpenStreetMap,"church,","{""type"": ""Point"", ""coordinates"": [3.2651736, 39.5964298]}",osm-location,precise,representative,640,300,2018-09-25T21:28:16Z,/places/123971451/osm-location,/places/123971451,39.5964298,"39.5964298,3.2651736",3.2651736,,L,late-antique,"300.0,640.0",OSM location,33bfbafba434808efa9492ee36bebc34,,,,,22,Early Modern,AFRICA,1450,340
"Siewert-Mayer, B., W. RÃ¶llig, H. Kopp, F. Deblauwe, E. Kansa","43.0, 34.0, 44.0, 35.0",2013-08-22T16:06:16Z,"B. Siewert-Mayer, W. RÃ¶llig, H. Kopp",0,Approximate location from the TAVO index,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[43.0, 34.0], [43.0, 35.0], [44.0, 35.0], [44.0, 34.0], [43.0, 34.0]]]}",gane-location-56532,rough,representative,640,300,2014-01-11T16:28:57Z,/places/510671522/gane-location-56532,/places/510671522,34.5,"34.5,43.5",43.5,,L,late-antique,"300.0,640.0",GANE Location 56532,cf677a9ec94dc83fee7749b1e51dc2f9,,,,,35,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:43Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:50Z,/places/662199/undetermined,/places/662199,,,,,L,late-antique,"300.0,640.0",Undetermined location,677e5a21f1c21464d90c5e46b40a882d,,,,,35,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:44Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:51Z,/places/662201/undetermined,/places/662201,,,,,L,late-antique,"300.0,640.0",Undetermined location,11ef8314e4a8f8e8e9b6a0b8c71a509c,,,,,12,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:45Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:51Z,/places/662202/undetermined,/places/662202,,,,,L,late-antique,"300.0,640.0",Undetermined location,065c7db2abb3d4b460c9b967bed89c5d,,,,,12,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:46Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:52Z,/places/662204/undetermined,/places/662204,,,,,L,late-antique,"300.0,640.0",Undetermined location,be593a924228df252164bd4dfe34e80a,,,,,30,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:47Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2017-01-19T12:56:42Z,/places/662205/undetermined,/places/662205,,,,,L,late-antique,"300.0,640.0",Undetermined location,054ef5ba6af99f3dd860db1094d8b979,,,,,31,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:49Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:53Z,/places/662207/undetermined,/places/662207,,,,,L,late-antique,"300.0,640.0",Undetermined location,892aeec8dadabb1322fe3e89151145af,,,,,30,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:50Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:54Z,/places/662209/undetermined,/places/662209,,,,,L,late-antique,"300.0,640.0",Undetermined location,f7374f04fa7b1defc36340d2a94e2527,,,,,33,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:51Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:55Z,/places/662210/undetermined,/places/662210,,,,,L,late-antique,"300.0,640.0",Undetermined location,fb6b3c8043d07eb3f864083d28036410,,,,,33,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:53Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:56Z,/places/662213/undetermined,/places/662213,,,,,L,late-antique,"300.0,640.0",Undetermined location,6746f448916821b11ae1d6609c498f84,,,,,15,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:56Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:58Z,/places/662216/undetermined,/places/662216,,,,,L,late-antique,"300.0,640.0",Undetermined location,112baff30c6e679806b76219c5c4b145,,,,,16,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:57Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:59Z,/places/662217/undetermined,/places/662217,,,,,L,late-antique,"300.0,640.0",Undetermined location,9169de5d037430e1c1df8ae84ab8309c,,,,,19,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:46:58Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:41:59Z,/places/662218/undetermined,/places/662218,,,,,L,late-antique,"300.0,640.0",Undetermined location,3c40cc269896207225c74386499a12d3,,,,,11,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:47:00Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:42:00Z,/places/662220/undetermined,/places/662220,,,,,L,late-antique,"300.0,640.0",Undetermined location,a52df0fa84423eb9aca7a92ce4fc1ef5,,,,,15,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:47:02Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:42:02Z,/places/662222/undetermined,/places/662222,,,,,L,late-antique,"300.0,640.0",Undetermined location,2a52ae17efe557df00c8525a4124355d,,,,,19,Early Modern,AFRICA,1450,340
"Gatier, P., T. Sinclair, M. Ballance, R. Warner, R. Talbert, T. Elliott, S. Gillies",,2009-10-19T11:47:06Z,"P.-L. Gatier, T. Sinclair",0,,unknown,,undetermined,unlocated,representative,640,300,2012-02-15T02:42:04Z,/places/662224/undetermined,/places/662224,,,,,L,late-antique,"300.0,640.0",Undetermined location,1d7b218998f92ba95eb64b4f8bdf9b29,,,,,36,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","38.423851, 35.083196, 38.423851, 35.083196",2011-03-09T19:38:18Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [38.423851, 35.083196]}",darmc-location-7002,precise,representative,640,300,2012-02-15T02:42:09Z,/places/668177/darmc-location-7002,/places/668177,35.083196,"35.083196,38.423851",38.423851,,L,late-antique,"300.0,640.0",DARMC location 7002,fcc9da9c3910bf8d461dc6ac70752d99,,,,,36,Early Modern,AFRICA,1450,340
"Ã…hlfeldt, J.","38.420467, 35.049569, 38.420467, 35.049569",2012-10-20T23:07:47Z,jahlfeldt,0,"Representative point location, site precision",fort,"{""type"": ""Point"", ""coordinates"": [38.420467, 35.049569]}",dare-location,precise,representative,640,300,2012-10-20T23:07:48Z,/places/668177/dare-location,/places/668177,35.049569,"35.049569,38.420467",38.420467,,L,late-antique,"300.0,640.0",DARE Location,36b919b0df753df7b343ec94e009065f,,,,,33,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","36.672525, 35.727837, 36.672525, 35.727837",2011-03-09T18:52:41Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [36.672525, 35.727837]}",darmc-location-2750,precise,representative,640,300,2012-02-15T02:44:36Z,/places/668179/darmc-location-2750,/places/668179,35.727837,"35.727837,36.672525",36.672525,,L,late-antique,"300.0,640.0",DARMC location 2750,274bc541fa2df31838335931af34f2dd,,,,,35,Early Modern,AFRICA,1450,340
"Ã…hlfeldt, J.","37.361407, 35.533726, 37.361407, 35.533726",2012-10-20T23:07:57Z,jahlfeldt,0,"Representative point location, site precision",settlement,"{""type"": ""Point"", ""coordinates"": [37.361407, 35.533726]}",dare-location,precise,representative,640,300,2012-10-20T23:07:59Z,/places/668189/dare-location,/places/668189,35.533726,"35.533726,37.361407",37.361407,,L,late-antique,"300.0,640.0",DARE Location,ff0646754554322808125a6b7a87764a,,,,,25,Early Modern,AFRICA,1450,340
"Becker, J.","37.352892, 35.5273756, 37.3711954, 35.5414174",2020-05-13T00:31:02Z,jbecker,1,Representative location based on OpenStreetMap,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[37.3629986, 35.5273756], [37.3586641, 35.5286329], [37.3569261, 35.529541], [37.355467, 35.5303443], [37.3549091, 35.5306935], [37.3529564, 35.532527], [37.352892, 35.5328414], [37.3538147, 35.5344828], [37.3556386, 35.5368518], [37.3563896, 35.5372534], [37.3576127, 35.5378994], [37.3651658, 35.5412518], [37.3661658, 35.5414174], [37.3666893, 35.5411121], [37.368599, 35.5390472], [37.3709379, 35.5357296], [37.3711954, 35.5346645], [37.3710023, 35.5333898], [37.3666893, 35.5293664], [37.3642861, 35.5279693], [37.3629986, 35.5273756]]]}",osm-locstion-of-el-anderin,precise,representative,640,300,2020-05-14T07:53:34Z,/places/668189/osm-locstion-of-el-anderin,/places/668189,35.53420778,"35.5342077846,37.362426163",37.36242616,,L,late-antique,"300.0,640.0",OSM locstion of El Anderin,db217512e4a54b12afdbe19e807b2ad9,,,,,24,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","36.270961, 34.653164, 36.270961, 34.653164",2011-03-09T20:48:55Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [36.270961, 34.653164]}",darmc-location-11628,precise,representative,640,300,2012-02-15T02:44:54Z,/places/668204/darmc-location-11628,/places/668204,34.653164,"34.653164,36.270961",36.270961,,L,late-antique,"300.0,640.0",DARMC location 11628,f6e7d58335aaf308cd15f6c0cee7daac,,,,,32,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","36.558987, 35.697826, 36.558987, 35.697826",2011-08-02T20:25:40Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [36.558987, 35.697826]}",darmc-location-25590,precise,representative,640,300,2012-02-15T02:44:56Z,/places/668207/darmc-location-25590,/places/668207,35.697826,"35.697826,36.558987",36.558987,,L,late-antique,"300.0,640.0",DARMC location 25590,a4091e7a70521133ddd7b3b7262492bc,,,,,33,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, R. Warner, R. Talbert, T. Elliott, S. Gillies","38.5, 35.5, 39.0, 36.0",2009-10-19T12:21:38Z,"J.P. Brown, P.-L. Gatier",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[38.5, 35.5], [38.5, 36.0], [39.0, 36.0], [39.0, 35.5], [38.5, 35.5]]]}",undetermined,rough,representative,640,300,2012-02-15T02:44:58Z,/places/668209/undetermined,/places/668209,35.75,"35.75,38.75",38.75,,L,late-antique,"300.0,640.0",Undetermined location,ca3fc8081a7e2b09984a6902c22fa533,,,,,32,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","35.991611, 35.961304, 35.991611, 35.961304",2011-03-09T19:11:10Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [35.991611, 35.961304]}",darmc-location-4998,precise,representative,640,300,2012-02-15T02:44:59Z,/places/668211/darmc-location-4998,/places/668211,35.961304,"35.961304,35.991611",35.991611,,L,late-antique,"300.0,640.0",DARMC location 4998,e53787b7823f5313ea0969b3ee340ad9,,,,,32,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","37.111805, 34.639874, 37.111805, 34.639874",2011-03-09T20:24:30Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [37.111805, 34.639874]}",darmc-location-9787,precise,representative,640,300,2012-02-15T02:45:00Z,/places/668212/darmc-location-9787,/places/668212,34.639874,"34.639874,37.111805",37.111805,,L,late-antique,"300.0,640.0",DARMC location 9787,b407e1eb89ff8246a5a5ecadd295ef95,,,,,33,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","35.980539, 34.516197, 35.980539, 34.516197",2011-03-09T20:20:47Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [35.980539, 34.516197]}",darmc-location-9642,precise,representative,640,300,2012-02-15T02:45:02Z,/places/668215/darmc-location-9642,/places/668215,34.516197,"34.516197,35.980539",35.980539,,L,late-antique,"300.0,640.0",DARMC location 9642,a0d77cfa39fd262bcf1a1cc5570ebcc2,,,,,34,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","36.316256, 34.776975, 36.316256, 34.776975",2011-03-09T20:20:59Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [36.316256, 34.776975]}",darmc-location-9651,precise,representative,640,300,2012-02-15T02:45:07Z,/places/668222/darmc-location-9651,/places/668222,34.776975,"34.776975,36.316256",36.316256,,L,late-antique,"300.0,640.0",DARMC location 9651,e6f400544340eab9e6e382713cee5d43,,,,,33,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","36.600517, 35.661533, 36.600517, 35.661533",2011-03-09T20:58:43Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [36.600517, 35.661533]}",darmc-location-11989,precise,representative,640,300,2012-02-15T02:45:12Z,/places/668227/darmc-location-11989,/places/668227,35.661533,"35.661533,36.600517",36.600517,,L,late-antique,"300.0,640.0",DARMC location 11989,61524d71c4975a237db7f999f710a7f5,,,,,33,Early Modern,AFRICA,1450,340
"Brown, J., P. Gatier, D. R. Talbert, T. Elliott, S. Gillies","37.076564, 34.275118, 37.076564, 34.275118",2011-03-09T20:30:10Z,"J.P. Brown, P.-L. Gatier",1,500K scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [37.076564, 34.275118]}",darmc-location-10021,precise,representative,640,300,2012-02-15T02:45:16Z,/places/668236/darmc-location-10021,/places/668236,34.275118,"34.275118,37.076564",37.076564,,L,late-antique,"300.0,640.0",DARMC location 10021,ea7ec8feb52804d5ed0fd0110b4c623c,,,,,33,Early Modern,AFRICA,1450,340
