authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,,roundedLat,eras,Continent,-2000
"Becker, J.","32.9906262, 34.5705294, 32.9906262, 34.5705294",2014-02-01T15:50:07Z,jbecker,3,Representative location based on OpenStreetMap.,"settlement,","{""type"": ""Point"", ""coordinates"": [32.9906262, 34.5705294]}",location-of-archaeological-area,precise,representative,-3300,-10000,2016-05-21T10:34:00Z,/places/751079112/location-of-archaeological-area,/places/751079112,34.5705294,"34.5705294,32.9906262",32.9906262,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Aetokremnos,dc11786cd3dcea57108a72c331373512,,,,,35,Prehistory,AFRICA,-2000
"Becker, J.","27.4719019, 43.1279184, 27.4731598, 43.1287817",2016-12-19T23:23:30Z,jbecker,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[27.472331, 43.1279184], [27.4720682, 43.128122], [27.4719019, 43.1282865], [27.4719609, 43.1285253], [27.4720896, 43.1286701], [27.472323, 43.1287817], [27.4725966, 43.1287719], [27.4729211, 43.1287015], [27.4731303, 43.12849], [27.4731598, 43.1282317], [27.4729265, 43.1280085], [27.4726019, 43.1279282], [27.472331, 43.1279184]]]}",osm-location-of-solnitsata,precise,representative,-3300,-10000,2017-11-29T18:39:31Z,/places/802858342/osm-location-of-solnitsata,/places/802858342,43.12835117,"43.1283511716,27.4725463346",27.47254633,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Solnitsata,6366dd4e3eea48ec89522a022275c11e,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","24.3257502, 37.6695213, 24.3257502, 37.6695213",2018-09-28T19:08:58Z,jbecker,,Representative location of archaeological site based on OpenStreetMap.,"settlement,","{""type"": ""Point"", ""coordinates"": [24.3257502, 37.6695213]}",location-of-ayia-irini,precise,representative,-1000,-10000,2018-10-01T10:27:19Z,/places/570033/location-of-ayia-irini,/places/570033,37.6695213,"37.6695213,24.3257502",24.3257502,,N432,"neolithic-eastern-med,4th-millenium-bce,3rd-millennium-bc,2nd-millenium-bce","-10000.0,-1000.0",OSM location of Ayia Irini,71e05a7e8046403c8f9edacba597d183,,,,,32,Prehistory,AFRICA,-2000
"Novotny, J.","37.069119, 37.758916, 37.069119, 37.758916",2020-11-04T12:05:22Z,jnovotny,0,,settlement,"{""type"": ""Point"", ""coordinates"": [37.069119, 37.758916]}",representative-location-of-turlu-hoyuk,precise,representative,-540,-10000,2020-11-07T11:57:24Z,/places/201144661/representative-location-of-turlu-hoyuk,/places/201144661,37.758916,"37.758916,37.069119",37.069119,"ANE, Assyrian",NN,"neolithic-eastern-med,neo-assyrian-babylonian-middle-east","-10000.0,-540.0",Representative location of Turlu HÃ¶yÃ¼k,293bb307bd674730b1e9ecfc4898122f,,,,,35,Prehistory,AFRICA,-2000
"Becker, J.","14.4417267, 35.8273313, 14.4426871, 35.8279351",2020-07-12T14:34:18Z,jbecker,1,Representative location based on OpenStreetMap,sanctuary,"{""type"": ""Polygon"", ""coordinates"": [[[14.4421679, 35.8273313], [14.4418468, 35.8274669], [14.4417267, 35.827627], [14.4417515, 35.8277654], [14.4418468, 35.8278357], [14.441931, 35.8278869], [14.4421152, 35.8279351], [14.4422553, 35.8279103], [14.4426577, 35.8276498], [14.4426871, 35.827475], [14.4426242, 35.827403], [14.4421679, 35.8273313]]]}",osm-location-of-a-aa-ar-qim-temples,precise,representative,-3300,-10000,2020-07-15T10:34:57Z,/places/75740664/osm-location-of-a-aa-ar-qim-temples,/places/75740664,35.8276158,"35.8276158004,14.4422035546",14.44220355,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Ä¦aÄ¡ar Qim temples,6d5ea877a0094b63b638fb9bd36adadb,,,,,35,Prehistory,AFRICA,-2000
"Mckee, G.","27.4709105, 48.5677037, 27.4720074, 48.5688944",2017-09-25T14:21:21Z,gmckee,2,"Polygon representing the location of the site of the Bernshivka settlement, derived from an Open Street Map Way after Zbenovich 1980.",settlement,"{""type"": ""Polygon"", ""coordinates"": [[[27.4713973, 48.5677037], [27.4711324, 48.5677812], [27.4709475, 48.5683602], [27.4709105, 48.5688495], [27.4715452, 48.5688944], [27.4718225, 48.5685111], [27.4720074, 48.567875], [27.4713973, 48.5677037]]]}",bernashivka,precise,representative,-3300,-10000,2017-09-25T16:33:27Z,/places/748615745/bernashivka,/places/748615745,48.56830433,"48.5683043259,27.4714185722",27.47141857,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Bernashivka settlement,211a608a93ea4612a11cb26be2480f88,,,,,35,Prehistory,AFRICA,-2000
"Mckee, G.","35.608239, 32.68025, 35.608239, 32.68025",2018-03-13T13:28:49Z,gmckee,0,"Point representing the approximate central point of the Neolithic settlement at Sha'ar Hagolan, after Garfinkle and Ben-Shlomo 2009.",settlement,"{""type"": ""Point"", ""coordinates"": [35.608239, 32.68025]}",imagery-location-of-shaar-hagolan-site,precise,"representative,central_point",-3300,-10000,2018-03-13T15:04:31Z,/places/112487386/imagery-location-of-shaar-hagolan-site,/places/112487386,32.68025,"32.68025,35.608239",35.608239,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery location of Sha'ar Hagolan site,17ac4378453b4a0396396e05807062be,,,,,33,Prehistory,AFRICA,-2000
"Mckee, G.","35.3370063, 32.2862875, 35.3386156, 32.2879881",2018-08-28T16:35:42Z,gmckee,1,"Polygon representing the Tell el-Far'ah (North) site, derived from an OpenStreetMap Way.",settlement,"{""type"": ""Polygon"", ""coordinates"": [[[35.3381435, 32.2862875], [35.3378056, 32.2863646], [35.3373281, 32.2866866], [35.3370063, 32.2870584], [35.3371887, 32.287521], [35.337591, 32.2878566], [35.3385351, 32.2879881], [35.3386156, 32.2876525], [35.3382937, 32.2864417], [35.3381435, 32.2862875]]]}",tell-el-farah-north,precise,representative,-550,-10000,2018-08-30T20:24:41Z,/places/589744740/tell-el-farah-north,/places/589744740,32.28719588,"32.2871958765,35.337892338",35.33789234,,NETMLI,"neolithic-eastern-med,early-bronze-age-southern-levant,transition-early-middle-bronze-age-southern-levant,middle-bronze-age-southern-levant,late-bronze-age-southern-levant,iron-age-southern-levant","-10000.0,-550.0",OSM location of Tell el-Far'ah (North),824fc84cbef54bccb9ed83f1412e2f96,,,,,33,Prehistory,AFRICA,-2000
"Mckee, G., J. Becker","35.60388, 31.80645, 35.60388, 31.80645",2017-01-09T21:40:12Z,gmckee,1,Representative location of the TulaylÄt al GhassÅ«l archaeological site based on coordinates derived from GeoNames.,settlement,"{""type"": ""Point"", ""coordinates"": [35.60388, 31.80645]}",google-earth-location-of-teleilat-ghassul,precise,representative,-2000,-10000,2017-01-10T18:56:26Z,/places/509457605/google-earth-location-of-teleilat-ghassul,/places/509457605,31.80645,"31.80645,35.60388",35.60388,,NE,"neolithic-eastern-med,early-bronze-age-southern-levant","-10000.0,-2000.0",GeoNames location of TulaylÄt al GhassÅ«l archaeological site,766b38cfb7b04bfb8c42483c2f6e4b14,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","34.6044045, 36.8004345, 34.6044045, 36.8004345",2013-07-31T17:25:45Z,jbecker,1,Location based on OpenStreetMap,"settlement,","{""type"": ""Point"", ""coordinates"": [34.6044045, 36.8004345]}",location-of-yumuktepe,precise,representative,1453,-10000,2013-09-09T15:00:21Z,/places/12504073/location-of-yumuktepe,/places/12504073,36.8004345,"36.8004345,34.6044045",34.6044045,,N32ACHRLM,"neolithic-eastern-med,3rd-millennium-bc,2nd-millenium-bce,archaic,classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine","-10000.0,1453.0",location of Yumuktepe,e467b5a2543f2649b1b2449a06715133,,,,,33,Prehistory,AFRICA,-2000
"Becker, J.","22.8398803, 39.3552248, 22.8398803, 39.3552248",2013-08-01T00:53:27Z,jbecker,2,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [22.8398803, 39.3552248]}",location-of-sesklo,precise,representative,-3300,-10000,2018-10-31T21:26:03Z,/places/937883502/location-of-sesklo,/places/937883502,39.3552248,"39.3552248,22.8398803",22.8398803,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Sesklo,c3f7c7c219d65b99cdb3e2ef43e1a631,,,,,32,Prehistory,AFRICA,-2000
"Mckee, G.","35.6104146, 32.4443788, 35.6198236, 32.4531582",2020-02-03T19:37:29Z,gmckee,1,"Polygon representing the approximate extent of the Pella site, derived from an OpenStreetMap Way.",settlement,"{""type"": ""Polygon"", ""coordinates"": [[[35.6172182, 32.4443788], [35.6151703, 32.4446863], [35.6135666, 32.4458047], [35.6104146, 32.4493403], [35.6109796, 32.4504921], [35.6147765, 32.4531582], [35.6189767, 32.4529538], [35.6198236, 32.4517346], [35.6197077, 32.4463985], [35.6190574, 32.4452513], [35.6172182, 32.4443788]]]}",osm-location-of-pella,precise,representative,1150,-10000,2020-02-03T22:26:24Z,/places/678326/osm-location-of-pella,/places/678326,32.44888178,"32.4488817836,35.6159285476",35.61592855,,N4E3MLINNHRLC,"neolithic-eastern-med,4th-millenium-bce,early-bronze-age-southern-levant,3rd-millennium-bc,middle-bronze-age-southern-levant,late-bronze-age-southern-levant,iron-age-southern-levant,neo-assyrian-babylonian-middle-east,neo-babylonian-achaemenid-southern-levant,hellenistic-republican,roman,late-antique,caliphate-fatimid-southern-levant","-10000.0,1150.0",OSM location of Pella,4dc25cb29355462e930c02c7aae641ec,,,,,32,Prehistory,AFRICA,-2000
"Mckee, G.","34.8652889, 31.3815136, 34.8686918, 31.3838073",2018-04-04T19:50:54Z,gmckee,2,"Polygon representing the location of the Tell Halif site, derived from an OpenStreetMap Way after Hardin 2014.",settlement,"{""type"": ""Polygon"", ""coordinates"": [[[34.867272, 31.3815136], [34.8663599, 31.3815607], [34.8655244, 31.382171], [34.8652889, 31.3828634], [34.8655182, 31.3837199], [34.8659612, 31.3838073], [34.8665881, 31.3837378], [34.8674392, 31.3835193], [34.8679598, 31.3831632], [34.8686918, 31.3825904], [34.8686796, 31.3823539], [34.8683338, 31.3819065], [34.867272, 31.3815136]]]}",tell-halif,precise,representative,1453,-10000,2018-04-05T12:12:08Z,/places/688038/tell-halif,/places/688038,31.38264572,"31.3826457212,34.8668864585",34.86688646,,NEMLINHRLM,"neolithic-eastern-med,early-bronze-age-southern-levant,middle-bronze-age-southern-levant,late-bronze-age-southern-levant,iron-age-southern-levant,neo-babylonian-achaemenid-southern-levant,hellenistic-republican,roman,late-antique,mediaeval-byzantine","-10000.0,1453.0",OSM location of Tell Halif,e1dca5a450b2463c85910d57ea19e838,,,,,31,Prehistory,AFRICA,-2000
"Becker, J.","33.3030631, 34.7522658, 33.3030631, 34.7522658",2013-08-01T04:17:59Z,jbecker,1,Location based on OpenStreetMap,"settlement,","{""type"": ""Point"", ""coordinates"": [33.3030631, 34.7522658]}",location-of-kalavasos-tenta,precise,representative,-3300,-10000,2013-08-09T14:12:59Z,/places/807160605/location-of-kalavasos-tenta,/places/807160605,34.7522658,"34.7522658,33.3030631",33.3030631,,N,neolithic-eastern-med,"-10000.0,-3300.0",location of Kalavasos-Tenta,c1c220bad245a27a73780c4523c6cc3c,,,,,33,Prehistory,AFRICA,-2000
"Mckee, G.","35.070777, 32.135105, 35.070777, 32.135105",2019-12-11T18:43:22Z,gmckee,0,"Point representing the approximate imagery location of the entrance to the Nahal Qanah cave, after Gopher 1996.",cave,"{""type"": ""Point"", ""coordinates"": [35.070777, 32.135105]}",approximate-imagery-location-of-nahal-qanah-cave,precise,representative,-2000,-10000,2019-12-11T19:25:49Z,/places/861836423/approximate-imagery-location-of-nahal-qanah-cave,/places/861836423,32.135105,"32.135105,35.070777",35.070777,,NE,"neolithic-eastern-med,early-bronze-age-southern-levant","-10000.0,-2000.0",Approximate imagery location of Nahal Qanah cave,35c061baaf764f6488506adfc7d270e9,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","37.539167, 31.905833, 37.539167, 31.905833",2020-01-04T20:45:27Z,jbecker,1,Location based on OpenStreetMap,unknown,"{""type"": ""Point"", ""coordinates"": [37.539167, 31.905833]}",osm-location-of-far-wadi-al-qattafi,precise,representative,-3300,-10000,2020-01-30T19:51:42Z,/places/810734826/osm-location-of-far-wadi-al-qattafi,/places/810734826,31.905833,"31.905833,37.539167",37.539167,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Far Wadi al Qattafi,bf8b097123294d83ab9bca94ca85658a,,,,,17,Prehistory,AFRICA,-2000
"Becker, J.","33.3449235, 34.7968951, 33.3449235, 34.7968951",2019-01-24T15:16:38Z,jbecker,1,Representative location based on OpenStreetMap,settlement,"{""type"": ""Point"", ""coordinates"": [33.3449235, 34.7968951]}",osm-location-of-choirokoitia-neolithic-settlement,precise,representative,-3300,-10000,2019-02-17T18:40:38Z,/places/755568222/osm-location-of-choirokoitia-neolithic-settlement,/places/755568222,34.7968951,"34.7968951,33.3449235",33.3449235,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Choirokoitia Neolithic Settlement,a75812cb0e1544098ec412b0cc76f2f3,,,,,32,Prehistory,AFRICA,-2000
"Nagy, N., J. Becker, S. Gillies","33.343543, 34.796806, 33.343543, 34.796806",2010-10-06T18:42:24Z,nnagy,2,,"settlement,","{""type"": ""Point"", ""coordinates"": [33.343543, 34.796806]}",imagery-location,precise,representative,-3300,-10000,2012-12-19T03:19:37Z,/places/755568222/imagery-location,/places/755568222,34.796806,"34.796806,33.343543",33.343543,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery Location: Centerpoint of Choirokoitia,d0186eb17013f9ec08c9cc26653e2032,,,,,36,Prehistory,AFRICA,-2000
"Becker, J., T. Elliott","24.8289925, 35.2082103, 24.8289925, 35.2082103",2018-02-01T14:35:23Z,jbecker,2,Location based on OpenStreetMap. Dates after BAtlas and after A. Kotsonas in EncAncHist.,"cave,settlement,sanctuary","{""type"": ""Point"", ""coordinates"": [24.8289925, 35.2082103]}",location-of-idaean-cave,precise,representative,300,-10000,2018-06-08T11:31:30Z,/places/589817/location-of-idaean-cave,/places/589817,35.2082103,"35.2082103,24.8289925",24.8289925,,NEMLACR,"neolithic-eastern-med,early-minoan,middleminoan,late-minoan,archaic,classical,roman","-10000.0,300.0",OSM location of Î£Ï€Î®Î»Î±Î¹Î¿ Î™Î´Î±Î¯Î¿Î½ Î†Î½Ï„ÏÎ¿Î½,2ce93f891d5247acbf6af6f34feedab4,,,,,36,Prehistory,AFRICA,-2000
"Elliott, T.","26.9740954, 36.7188553, 26.9740954, 36.7188553",2013-03-12T11:44:46Z,thomase,2,"Location based on OpenStreetMap. Dates after Levi, PECS.","cave,","{""type"": ""Point"", ""coordinates"": [26.9740954, 36.7188553]}",aspri-petra-cave-entrance,precise,representative,-550,-10000,2013-03-12T16:17:51Z,/places/599533/aspri-petra-cave-entrance,/places/599533,36.7188553,"36.7188553,26.9740954",26.9740954,,N43EMA,"neolithic-eastern-med,4th-millenium-bce,3rd-millennium-bc,early-geometric,middle-geometric,archaic","-10000.0,-550.0",Aspri Petra Cave Entrance,dc46d59008984e190b6335559e76e68e,,,,,36,Prehistory,AFRICA,-2000
"Becker, J., T. Elliott","38.9224, 37.2233, 38.9224, 37.2233",2012-09-14T20:11:38Z,jbecker,5,"Coordinates following GeoHack, verified in Google Earth 2013.","sanctuary,","{""type"": ""Point"", ""coordinates"": [38.9224, 37.2233]}",goebekli-tepe,precise,"representative,",-3300,-10000,2016-08-01T00:48:07Z,/places/245438984/goebekli-tepe,/places/245438984,37.2233,"37.2233,38.9224",38.9224,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery location of GÃ¶bekli Tepe,2055ec9fc6cdef684c19d8c9e58bbba6,,,,,26,Prehistory,AFRICA,-2000
"Mckee, G., J. Becker","41.52222, 39.993717, 41.52222, 39.993717",2016-10-04T20:27:16Z,gmckee,6,Site of ancient settlement.,"settlement,","{""type"": ""Point"", ""coordinates"": [41.52222, 39.993717]}",location-of-sos-hoyuk,precise,"representative,",1453,-10000,2016-10-08T15:26:38Z,/places/355216649/location-of-sos-hoyuk,/places/355216649,39.993717,"39.993717,41.52222",41.52222,,NEMLEMAM,"neolithic-eastern-med,early-bronze-age-anatolia,middle-bronze-age-anatolia,late-bronze-age-anatolia,early-iron-age-anatolia,middle-late-iron-age-anatolia,achaemenid-middle-east,mediaeval-byzantine","-10000.0,1453.0",Imagery location of Sos HÃ¶yÃ¼k,95c736d03d4d4d5c970be8f63969143c,,,,,26,Prehistory,AFRICA,-2000
"Becker, J.","30.1, 37.6, 30.1, 37.6",2019-02-06T20:46:35Z,jbecker,0,Coordinates following GeoHack.,settlement,"{""type"": ""Point"", ""coordinates"": [30.1, 37.6]}",imagery-location-of-hacilar,precise,representative,-3300,-10000,2019-02-13T11:47:50Z,/places/350639157/imagery-location-of-hacilar,/places/350639157,37.6,"37.6,30.1",30.1,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery location of HaÃ§ilar,a174af54b39741f1946ea2d0db43a772,,,,,30,Prehistory,AFRICA,-2000
"Becker, J.","35.572143, 32.722093, 35.572143, 32.722093",2017-10-22T02:21:29Z,jbecker,1,Coordinates via GeoHack.,settlement,"{""type"": ""Point"", ""coordinates"": [35.572143, 32.722093]}",imagery-location-of-ohalo-ii,precise,representative,-3300,-10000,2017-11-01T14:34:01Z,/places/616909246/imagery-location-of-ohalo-ii,/places/616909246,32.722093,"32.722093,35.572143",35.572143,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery location of Ohalo II,8c8ea3e126ab4de3a1b9549931f46a41,,,,,26,Prehistory,AFRICA,-2000
"Becker, J.","39.726875, 38.2183444, 39.726875, 38.2183444",2013-05-19T00:32:24Z,jbecker,2,Location based on OpenStreetMap,"settlement,","{""type"": ""Point"", ""coordinates"": [39.726875, 38.2183444]}",location-of-cayoenu,precise,"representative,",-3300,-10000,2016-10-08T15:07:42Z,/places/75292543/location-of-cayoenu,/places/75292543,38.2183444,"38.2183444,39.726875",39.726875,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Ã‡ayÃ¶nÃ¼,ba99245e9eb4f3784f84f656f208c301,,,,,31,Prehistory,AFRICA,-2000
"Becker, J.","35.227725, 32.755375, 35.227725, 32.755375",2017-10-22T13:55:39Z,jbecker,0,Coordinates following GeoHack.,settlement,"{""type"": ""Point"", ""coordinates"": [35.227725, 32.755375]}",geohack-location-of-yiftahel,precise,representative,-3300,-10000,2017-10-27T20:54:52Z,/places/880264862/geohack-location-of-yiftahel,/places/880264862,32.755375,"32.755375,35.227725",35.227725,,N,neolithic-eastern-med,"-10000.0,-3300.0",GeoHack location of Yiftahel,e42fc641884b4f45b79c941d6bed9d95,,,,,32,Prehistory,AFRICA,-2000
"Mckee, G., T. Elliott","34.6625925, 50.0794071, 34.6720508, 50.0879713",2017-04-04T15:56:31Z,gmckee,3,"Representative location from OSM, after Shramko 1987.",settlement,"{""type"": ""Polygon"", ""coordinates"": [[[34.6701196, 50.0794071], [34.6688322, 50.0794485], [34.6668598, 50.079969], [34.6626354, 50.0849593], [34.6625925, 50.0869419], [34.6640087, 50.0877611], [34.6657637, 50.0879713], [34.6712783, 50.0853416], [34.6720508, 50.0814726], [34.6701196, 50.0794071]]]}",bilske-horodyshche,precise,representative,-330,-10000,2017-04-09T09:15:39Z,/places/459909982/bilske-horodyshche,/places/459909982,50.08364353,"50.0836435257,34.667489697",34.6674897,,NC,"neolithic-eastern-med,classical","-10000.0,-330.0",OSM location of Bilske Horodyshche,045f4b9f8d96468ba23af37292d1cc57,,,,,31,Prehistory,AFRICA,-2000
